大項目	中項目	小項目	Prompt
成人向け	テンプレ	露出テンプレ	nsfw,nude,nipples,navel,pussy,vaginal,sweat,sex,outside,squatting,arm support
成人向け	テンプレ	露出ピーステンプレ	nsfw,nude,nipples,navel,pussy,vaginal,sweat,sex,outside,squatting,double peace
成人向け	プレイ	セックス	sex
成人向け	プレイ	セックス(男性との)	intercourse with a man
成人向け	プレイ	パイズリ	paizuri
成人向け	プレイ	パイズリ1	titty fuck
成人向け	プレイ	パイズリ2	titfuck
成人向け	プレイ	パイズリ3	tit wank
成人向け	プレイ	パイズリ射精	cum on breasts,bukkake,cum on body,cum
成人向け	プレイ	亀甲縛り	tortoise shell bondage
成人向け	プレイ	胸を絞る	breast squeeze
成人向け	プレイ	交尾	mating
成人向け	プレイ	交尾2	copulation
成人向け	プレイ	性交がないエロ	softcore
成人向け	プレイ	性交のあるエロ	hardcore
成人向け	プレイ	正面から胸を揉む	grabbing from front
成人向け	プレイ	足コキ	footjob
成人向け	プレイ	他人が胸を掴む	breast grab
成人向け	プレイ	乳ワイパー	breasts on glass
成人向け	プレイ	背後から胸を揉む	grabbing from behind
成人向け	プレイ	服を着ながら胸を出す	lactation through clothes
成人向け	ポーズ	エッチな開脚	squatting,arms behind head,spread legs, double peace
成人向け	ポーズ	お尻をつかんでいるポーズ	ass grab
成人向け	ポーズ	ジャックオーチャレンジ	top down bottom up
成人向け	ポーズ	シャツたくし上げ	shirt lift
成人向け	ポーズ	スカートたくし上げ	lift up one's skirt
成人向け	ポーズ	スカートたくし上げ2	upskirt
成人向け	ポーズ	セーターたくし上げ	sweater lift
成人向け	ポーズ	たくし上げ	clothes lift
成人向け	ポーズ	トイレに跨る	squat_toilet
成人向け	ポーズ	フェラをする素振り	fellatio gesture
成人向け	ポーズ	ポーズ	female masturbation
成人向け	ポーズ	またがり, M字開脚,馬乗り	straddling
成人向け	ポーズ	開脚	spread leg
成人向け	ポーズ	騎乗位で脚を広げる	straddling spread legs
成人向け	ポーズ	騎乗位で手を後頭部に	straddling arms behind head
成人向け	ポーズ	脚をつかむ	leg grab
成人向け	ポーズ	脚を大きく広げる	licking testicle
成人向け	ポーズ	胸を隠す	covering breasts
成人向け	ポーズ	屈む,しゃがむ,スクワット体勢	squatting
成人向け	ポーズ	後ろ手に目隠し	arms behind back }blindfold
成人向け	ポーズ	四つん這いで乗ってくる	all fours, straddling, girl on top, cowgirl position, upper body, looking at viewer, from below
成人向け	ポーズ	女性器に指	fingering vaginal
成人向け	ポーズ	女性器に手	hand in pussy
成人向け	ポーズ	女性器に触れる	touch her crotch with own hand
成人向け	ポーズ	女性器を広げる,クパァ	spread pussy
成人向け	ポーズ	女性器を広げる,クパァ2	spread vagina
成人向け	ポーズ	人に座る	sitting on person
成人向け	ポーズ	足を広げて上げる	spread legs up
成人向け	ポーズ	足を広げる	spread legs
成人向け	ポーズ	乳首を隠す	covering nipples
成人向け	ポーズ	膣を広げる	insert fingers to pussy
成人向け	口淫	Wフェラ	cooperative fellatio,herem
成人向け	口淫	アナル舐め	anilingus
成人向け	口淫	イラマチオ	irrumatio
成人向け	口淫	ディープスロート	deep throat
成人向け	口淫	ひょっとこフェラ	:>=
成人向け	口淫	フェラ1	fellatio
成人向け	口淫	フェラ2	blow job
成人向け	口淫	フェラ顔	blowjob face
成人向け	口淫	玉なめ	testicle sucking
成人向け	口淫	搾乳	milking
成人向け	口淫	授乳	lactation
成人向け	口淫	深く咥える	swallow
成人向け	口淫	乳吸い	breasts sucking
成人向け	口淫	乳首なめ	breast sucking
成人向け	口淫	母乳育児	breastfeeding
成人向け	自慰	オナニー1	wank
成人向け	自慰	オナニー2	masturbation
成人向け	自慰	オナニー3	masturbate
成人向け	自慰	ディルドを膣に挿入します	insert dildo to pussy
成人向け	射精	お尻に出す	acp
成人向け	射精	ぶっかけ	bukkake
成人向け	射精	溢れる精液	creampie
成人向け	射精	溢れる精液	creampie
成人向け	射精	顔射	facial
成人向け	射精	胸にぶっかけ	cum on breasts
成人向け	射精	口開け舌出し	oral invitation
成人向け	射精	口内射精	cim
成人向け	射精	口内射精2	cum in mouth
成人向け	射精	拘束中出し	criempie drop
成人向け	射精	射精1	cream shoot
成人向け	射精	射精2	cumshot
成人向け	射精	射精3	ejaculation
成人向け	射精	受精	fertilization
成人向け	射精	精液ごっくん	gulp
成人向け	射精	体にぶっかけ	cum on body
成人向け	射精	大量射精	excessive cum
成人向け	射精	中出し	cum in pussy
成人向け	射精	髪にぶっかけ	cum on hair
成人向け	射精	飛び散る射精	pojecile cum
成人向け	射精	服にぶっかけ	cum on clothes
成人向け	射精	頬にぶっかけ	cum on cheeks
成人向け	手淫	看護手コキ	nursing handjob
成人向け	手淫	手コキ	handjob
成人向け	性器	アナル,肛門	anal
成人向け	性器	おっぱい	tits
成人向け	性器	クリトリス	clitoris
成人向け	性器	スジ	cameltoe
成人向け	性器	とても美しい女性器	excellent beautiful pussy
成人向け	性器	ピンクの乳首	pink nipples
成人向け	性器	ふくらんでいる乳首	puffy nipples
成人向け	性器	ふたなり	futanari
成人向け	性器	マンすじ	camel toe
成人向け	性器	ロリマン	beautiful xtra small pussy
成人向け	性器	巨大なペニス	giant penis
成人向け	性器	胸の谷間	breasts cleavage
成人向け	性器	血管が浮き出るペニス	veiny penis
成人向け	性器	子宮	the uterus
成人向け	性器	女性器	pussy
成人向け	性器	女性器2	vagina
成人向け	性器	女性器3	cunt
成人向け	性器	尻	hip
成人向け	性器	尻の穴、肛門	anus
成人向け	性器	精巣	testis
成人向け	性器	大きなペニス	big penis
成人向け	性器	大きなペニス2	large penis
成人向け	性器	淡いピンクの乳首	light pink nipples
成人向け	性器	男性器	penis
成人向け	性器	長乳	long breasts
成人向け	性器	乳首	nipples
成人向け	性器	乳首ポロリ	nipple slip
成人向け	性器	濡れた女性器	wet pussy
成人向け	性器	美しい膣	beautiful vagina
成人向け	性器	膣	vaginal
成人向け	性器の状態	子宮内の精液	cum in uterus
成人向け	性器の状態	事後の膣	after vaginal
成人向け	性器の状態	濡れた膣	wet vagina
成人向け	性器の状態	膣から精子	cum inside pussy
成人向け	絶頂	オーガズム	orgasm
成人向け	絶頂	絶頂	cum
成人向け	絶頂	絶頂の際の痙攣エフェクト	trembling motionline for orgasm
成人向け	絶頂	潮吹き1	squirting
成人向け	絶頂	潮吹き2	female ejaculation
成人向け	絶頂	潮吹き3	gushing
成人向け	挿入	女性器に挿入	insert vagina
成人向け	挿入	触手がファック	tentacles fucks
成人向け	挿入	触手肛門挿入	tentacles anal fuck
成人向け	挿入	触手膣挿入	tentacles vaginal fuck
成人向け	装飾	乳首ピアス	nipple piercing
成人向け	属性	セフレ	friend with benefits
成人向け	属性	セフレ2	fuck buddy
成人向け	属性	ヤリマン	cockslut
成人向け	属性	異性愛者	hetero
成人向け	属性	淫らな	lewd
成人向け	属性	淫乱1	nympho
成人向け	属性	淫乱2	nymphomaniac
成人向け	属性	同性愛者	homosexuality
成人向け	属性	肉便器	cumdump
成人向け	属性	妊娠中,妊婦,ボテ腹	pregnant
成人向け	属性	発情期の女の子	girl in heat
成人向け	体位	2穴挿入	double penetration
成人向け	体位	お尻を突き出す	top-down bottom-up
成人向け	体位	クンニ	cunnilingus
成人向け	体位	シックスナイン1	69
成人向け	体位	シックスナイン2	sixty nine
成人向け	体位	ちんぐり返し	folded
成人向け	体位	ちんぐり返し騎乗位	amazon position
成人向け	体位	パイズリフェラ	breasts blowjob
成人向け	体位	フェラ	licking penis
成人向け	体位	駅弁	suspended congress
成人向け	体位	騎乗位	cowgirl position
成人向け	体位	後背位1	doggy style
成人向け	体位	交差位	tribadism
成人向け	体位	寝バック	prone bone
成人向け	体位	正常位	missionary position
成人向け	体位	前と後ろから挿入	spitroast
成人向け	体位	側位	spooning
成人向け	体位	対面座位	upright straddle
成人向け	体位	背面騎乗位	reverse cowgirl position
成人向け	体位	背面座位	reverse upright straddle
成人向け	体位	膝立ち後背位	kneeling doggystyle
生物	魚	魚	fish
生物	魚	魚類	fishes
生物	恐竜	恐竜	dinosaur
生物	鳥	海鳥	seabirds
生物	鳥	鳥	birds
生物	鳥	平和の鳩	dove of peace
生物	鳥類	カラス	crow
生物	動物	アナグマ	badger furry
生物	動物	いぬ	dog furry
生物	動物	うさぎ	white rabit furry
生物	動物	ウシ	cow furry
生物	動物	オオカミ	wolf furry
生物	動物	カイジュウ	kaijuu
生物	動物	シカ	deer furry
生物	動物	タコ,たこ,蛸	octopus
生物	動物	たぬき	tanuki
生物	動物	トラ	tiger furry
生物	動物	ねこ	cat furry
生物	動物	パンダ	panda furry
生物	動物	ヒツジ	sheep furry
生物	動物	ヒトデ	starfish
生物	動物	ヒョウ	leopard furry
生物	動物	ヤギ	goat furry
生物	動物	ライオン	lion furry
生物	動物	犬	dog
生物	動物	子馬	pony
生物	動物	兎,うさぎ	rabit
生物	動物	猫	cat
装飾	アクセサリー	エンジェルハロー	angel halo
装飾	その他	浮き輪	innertube
装飾	ヘアアクセサリー	ヘアフープ	hair hoop
装飾	ヘアアクセサリー	ヘアボウ	hair bow
装飾	ヘアアクセサリー	ヘアリボン	hair ribbon
装飾	ヘアアクセサリー	ベール	veil
装飾	メイク	タトゥー	tattoo
装飾	メイク	タトゥー2	pubic tattoo
装飾	メイク	チーク	cheek
装飾	メイク	ボディペイント	body paint
装飾	メイク	化粧,メイク	makeup
装飾	メイク	顔面タトゥー	facial tattoo
装飾	メイク	肩のタトゥー	shoulder tattoo
装飾	メイク	腕のタトゥー	arm tattoo
装飾	下半身	ベルト	belt
装飾	下半身	ベルト2	buckle
装飾	下半身	ベルト3	belt buckle
装飾	下半身	レッグホルスター	thigh holster
装飾	下半身	帯	obi
装飾	下半身	帯2	sash
装飾	眼鏡	アイパッチ,眼帯	eyepatch
装飾	眼鏡	サングラス,グラサン	sunglasses
装飾	眼鏡	ハーフフレームメガネ	semi rimless eyewear
装飾	眼鏡	モノクル	monocle
装飾	眼鏡	丸メガネ	round eyewear
装飾	眼鏡	眼鏡	glasses
装飾	持つ奴	エレキギター	electric guitar
装飾	持つ奴	バッグ	bag
装飾	持つ奴	バッグ2	handbag
装飾	持つ奴	バッグ4	shoulder bag
装飾	持つ奴	杖	staff
装飾	持つ奴	杖2	stick
装飾	持つ奴	杖3	cane
装飾	持つ奴	杖4	wand
装飾	持つ奴	杖5	mace
装飾	持つ奴	杖6	crutch
装飾	持つ奴	扇子	hand fan
装飾	持つ奴	提灯	paper lantern
装飾	持つ奴	和傘	oil paper umbrella
装飾	耳	イヤーマフ	earmuffs
装飾	耳	イヤリング	earrings
装飾	耳	フープイヤリング	hoop earrings
装飾	手	アームリング	arm ring
装飾	手	アンクレット	anklet
装飾	手	シュシュ	scrunchie
装飾	手	チェーンリング	chain ring
装飾	手	ビーズブレスレット	bead bracelet
装飾	手	ブレスレット	bracelet
装飾	手	機械式アームアーマー	mechanical arm armor
装飾	手	黒曜石のブレスレット	obsidian bracelet
装飾	手	手首にカフスだけ付いてるやつ	wrist cuffs
装飾	手	手枷,足枷	shackles
装飾	手	腕時計	wristwatch
装飾	手袋	指輪	ring
装飾	首	IDカード（社員証）	id card
装飾	首	O型のリング	o ring
装飾	首	アスコットタイ	blue ascot
装飾	首	クロスネックレス	cross necklace
装飾	首	チョーカー,首輪	choker
装飾	首	ドッグタグ	dog tags
装飾	首	ネクタイ	necktie
装飾	首	ネックレス	necklace
装飾	首	リボン	ribbon
装飾	首	リボン２	bow
装飾	首	首に巻く布	neckerchief
装飾	首	首輪	leash
装飾	首	首輪2	collar
装飾	首	蝶ネクタイ	bowties
装飾	傷病	打撲	bruise
装飾	傷病	注射痕	injection marks
装飾	傷病	鼻血	nosebleed
装飾	傷病	痣	birthmark
装飾	上半身	ケープ	cape
装飾	上半身	スカーフ	scarf
装飾	上半身	ボディハーネス	harness
装飾	上半身	ボディハーネス2	chest harness
装飾	上半身	リュック	backpack
装飾	上半身	胸当て	breastplate
装飾	上半身	肩章	epaulettes
装飾	上半身	小さなマント	capelet
装飾	上半身	上腕の装飾	armlet
装飾	上半身	蝙蝠の翼	bat wings
装飾	装飾	ジュエリー	jewelry
装飾	装飾	タオル	towel
装飾	装飾	ピアス	piercing
装飾	装飾	機械的補綴物	mechanical prosthesis
装飾	装飾	人形	doll
装飾	装飾	装飾	jewelry decoration
装飾	装飾	装備	gear
装飾	装飾	体の宝石	gemstone of body
装飾	装飾	包帯	bandages
装飾	装飾	宝飾品	gemological ornaments
装飾	頭部	SCIFI系髪の装飾品	scifi hair ornaments
装飾	頭部	ギャグボール	ball gag
装飾	頭部	ギャグボール2	towel gag
装飾	頭部	バッテン髪飾り	x hair ornament
装飾	頭部	ヘアクリップ	hairclip
装飾	頭部	ヘアゴム	hair bobbles
装飾	頭部	ヘアピン	hairpin
装飾	頭部	ヘッドギア	head gear
装飾	頭部	ヘッドフォン	headphones
装飾	頭部	ヘルメット	helmet
装飾	頭部	マスク	mouth mask
装飾	頭部	花の髪飾り	hair flower
装飾	頭部	頭の羽	head wings
装飾	頭部	髪の房止め,霊夢の頭のあれ	hair tubes
装飾	頭部	布とか髪とか通すリボン	ribbon trim
装飾	頭部	編み込み	french braid
装飾	頭部	編み込みが一つ	single braid
装飾	頭部	目隠し	blindfold
装飾	頭部	鈴飾り	hair bell
装飾	髪飾	髪のスティック	hair stick
装飾	髪飾	髪の飾り	hair decoration
装飾	髪飾	氷が髪を飾ります	ice adorns hair
装飾	武器	ブーケ	bouquet
装飾	武器	ムチ	whip
装飾	武器	剣	sword
装飾	武器	銃	gun
装飾	武器	水鉄砲	water gun
装飾	武器	刀	katana
装飾	武器	二丁拳銃	dual wielding
装飾	武器	日本刀	japanese sword
装飾	帽子	カチューシャ	horseshoe shaped hairband
装飾	帽子	キャスケット	cabbie hat
装飾	帽子	サンバイザー	visor cap
装飾	帽子	シルクハット	top hat
装飾	帽子	セーラー帽	sailor hat
装飾	帽子	ティアラ	tiara
装飾	帽子	ナースカップ	nurse cap
装飾	帽子	ニット帽	beanie
装飾	帽子	ニット帽2	knitted hat
装飾	帽子	バンダナ	bandana
装飾	帽子	ふんわりとしたお嬢様っぽい帽子	bonnet
装飾	帽子	ベレー帽	beret
装飾	帽子	ミニ王冠	ascot
装飾	帽子	ミニ帽子	mini hat
装飾	帽子	モブキャップ	mob cap
装飾	帽子	リボンの付いた帽子	hat ribbon
装飾	帽子	花冠	head wreath
装飾	帽子	花飾り	floral decoration
装飾	帽子	官帽	peaked cap
装飾	帽子	丸い帽子	round hat
装飾	帽子	軍帽	military hat
装飾	帽子	軍帽2	cap
装飾	帽子	頭飾り	headpiece
装飾	帽子	動物の形のフード	animal hood
装飾	帽子	麦わら帽子	straw hat
装飾	帽子	鉢巻	headband
装飾	帽子	髪飾り	hair ornament
装飾	帽子	帽子	hat
装飾	帽子	帽子の先端にペンダント	pendant on tip of hat
装飾	帽子	魔女の帽子	witch hat
属性	国	アメリカ	american
属性	国	中国	chinese
属性	国	日本	japanese
属性	国	日本2	japan
属性	種族	アライグマ	racoon
属性	種族	ヴァンパイア	vampire
属性	種族	ウェアウルフ	werewolf
属性	種族	ウマ娘	umamusume
属性	種族	エルフ	elf
属性	種族	オーク	orc
属性	種族	キョンシー	jiangshi
属性	種族	ケモノ	furry
属性	種族	ゴブリン	goblin
属性	種族	サイボーグ	cyborg
属性	種族	サキュバス	succubus
属性	種族	スライム	slime
属性	種族	ゾンビ	zombie
属性	種族	ダークエルフ	dark elf
属性	種族	ドラフ族（グラブル）	draph
属性	種族	ニンフ	nymph
属性	種族	ハーピィ	harpy
属性	種族	フェニックスガール	phoenix girl
属性	種族	メカ	mecha
属性	種族	メカニカルガール	mechanical girl
属性	種族	メカ娘	mecha musume
属性	種族	モンスター娘	monster girl
属性	種族	ラミア	lamia
属性	種族	ロボ	robot
属性	種族	ロボットガール	robot girl
属性	種族	悪魔	devil
属性	種族	悪魔(女)	devil girl
属性	種族	悪魔(男)	devil boy
属性	種族	狐っ子	fox girl
属性	種族	骨になる	skeleton
属性	種族	深海棲艦(艦これ)	abyssal ship
属性	種族	人魚	mermaid
属性	種族	天使	angel
属性	種族	天使(女)	angel girl
属性	種族	天使(男)	angel boy
属性	種族	動物の顔	animal face
属性	種族	幽霊	ghost
属性	種族	幼児２(loliよりもさらに年齢低め)	toddler, child,
属性	種族	妖精	fairy
属性	状態	壊れたロボット	brokrobot
属性	性質	アルビノ	albino
属性	性質	ギャル	gyaru
属性	性質	サディスト	sadist
属性	性質	トランス	trans
属性	性質	トランスセクシュアル	trannsexual
属性	性質	ばぶみ	babumi
属性	性質	ビッチ	bitch
属性	性質	マゾヒスト	masochism
属性	性質	ヤンデレ	yandere
属性	性質	暗い魂	dark soul
属性	性質	暗黒面	darkside
属性	性質	闇落ち	dark persona
属性	性質	可愛い	kawaii
属性	性質	可愛い女の子	cute and kawaii girl
属性	性質	筋肉質	muscular
属性	性質	筋肉質	muscular
属性	性質	雌雄同体	hermaphrodite
属性	性質	女性	women
属性	性質	繊細で女の子	girls
属性	性質	態度	attitude
属性	性質	男の娘	otoko no ko
属性	性質	美少女	bishoujo
属性	性質	百合	shoujo ai
属性	性質	百合	yuri
属性	性質	母性	motherly
属性	性質	魔法の	magical
属性	属性	かっこいい	cool
属性	属性	キャラクターガール	charactergirl
属性	属性	スケルトンガール	skeleton girl
属性	属性	スタイルガール	style girl
属性	属性	トランスジェンダー2	tranny
属性	属性	ふたなり２	futa
属性	属性	メスガキ	mesugaki
属性	属性	ヤオイ	yaoi
属性	属性	王女	princess
属性	属性	虚空の騎士	hollow knight
属性	属性	強い女の子	strong girl
属性	属性	女神	goddess
属性	年齢	若い女の子	young girls
属性	年齢	短い女の子	short little girl
天候と時間帯	時間帯	星の星雲	starry nebula
天候と時間帯	時間帯	星の竜巻	starry tornado
天候と時間帯	時間帯	星雲の宇宙背景	cosmic background of nebula
天候と時間帯	時間帯	昼間	day light
天候と時間帯	時間帯	朝	morning
天候と時間帯	時間帯	日没	sunset
天候と時間帯	時間帯	満月	full moon
天候と時間帯	時間帯	夜	night
天候と時間帯	時間帯	夜	night time
天候と時間帯	時間帯	夜空	night sky
天候と時間帯	時間帯	夜明け	dawn
天候と時間帯	時間帯	夕日の輝き	sunset glow
天候と時間帯	時間帯	夕暮れ	dusk
天候と時間帯	時間帯	夕暮れの空	dusk sky
天候と時間帯	時間帯	夕方	evening
天候と時間帯	天気	流星群	meteor shower
天候と時間帯	天候	雨	rainy
天候と時間帯	天候	雨の日	rainy days
天候と時間帯	天候	雲	cloud
天候と時間帯	天候	降雪	snowfall
天候と時間帯	天候	砂嵐	sandstorm
天候と時間帯	天候	晴天	clear sky
天候と時間帯	天候	雪	snow
天候と時間帯	天候	雪片	snowflakes
天候と時間帯	天候	曇りの空	cloudy sky
天候と時間帯	天候	入道雲	cumulonimbus capillatus
天候と時間帯	天候	風	breeze
天候と時間帯	天候	風2	wind
動作	しぐさ	あくび	yawning
動作	しぐさ	ウインク	one eye closed
動作	しぐさ	キス待ち	imminent kiss
動作	しぐさ	ぬいぐるみを抱く	stuffed toy
動作	しぐさ	ぬいぐるみを抱く2	stuffed animal
動作	しぐさ	メガネを直す	adjusting eyewear
動作	しぐさ	何かで口を覆う,口隠し	covering mouth
動作	しぐさ	何かを抱いている	object hug
動作	しぐさ	顎に手をかざす	hand on own chin
動作	しぐさ	顔を抑える	facepalm
動作	しぐさ	机の上に胸を置く	breasts rest on table
動作	しぐさ	胸を押さえる,支える	breast hold
動作	しぐさ	胸囲が欲しい	breasts envy
動作	しぐさ	腰に両手を当てる	hands on hips
動作	しぐさ	指を舐める	finger to mouth
動作	しぐさ	歯むき出し	round teeth
動作	しぐさ	歯を噛みしめる	slenched teeth
動作	しぐさ	歯を食いしばる2	clenched teeth
動作	しぐさ	手をぎゅっと握る	interlocked fingers
動作	しぐさ	手をポケットに入れる	hands in pockets
動作	しぐさ	手を頭に当てる	hand in own hair
動作	しぐさ	手を帽子に	hand on headwear
動作	しぐさ	手を頬に	hand on own cheek
動作	しぐさ	首かしげ	head tilt
動作	しぐさ	尻尾が上がる	tail raised
動作	しぐさ	舌を出す	tongue out
動作	しぐさ	足の間に手を入れる	between legs
動作	しぐさ	吐息	breath
動作	しぐさ	髪をつかむ	holding hair
動作	しぐさ	腕まくり	sleeves rolled up
動作	ポーズ	I字ポーズ	standing split
動作	ポーズ	うつ伏せ	on stomach
動作	ポーズ	がおーポーズ	claw pose
動作	ポーズ	ガニ股	bowlegged
動作	ポーズ	しゃがみ込む	squat down
動作	ポーズ	しゃがむ	squatting
動作	ポーズ	ストレッチ	stretch
動作	ポーズ	ストレッチポーズ	stretching
動作	ポーズ	ダイナミックなポーズ	dynamic pose
動作	ポーズ	ファイティングポーズ	fighting stance
動作	ポーズ	ポーズ	posing
動作	ポーズ	ポッケに手を突っ込む	hand in pocket
動作	ポーズ	椅子に持たれて座る,リクライニング	reclining
動作	ポーズ	横たわっている	on side
動作	ポーズ	横たわる	lying
動作	ポーズ	黄ケージに横たまり	yokozuwari in the cage
動作	ポーズ	開脚	open your legs wide
動作	ポーズ	逆さま	upside down
動作	ポーズ	敬礼	salute
動作	ポーズ	湖に横たわっています	lying on the lake
動作	ポーズ	後ろに手を持っていく	hands behind one's back
動作	ポーズ	後ろ手に組まされる	hands tied behind back reference
動作	ポーズ	腰に手を当てる	hand on hip
動作	ポーズ	四つん這い	all fours
動作	ポーズ	指をさす	pointing
動作	ポーズ	手をパーにする	open hand
動作	ポーズ	女の子がフェンスに手を寄せた	girl leaned her hands against the fence
動作	ポーズ	人差し指を立てる	index finger raised
動作	ポーズ	前かがみ,前屈み	leaning forward
動作	ポーズ	前かがみで	bent over
動作	ポーズ	足組み	crossed legs
動作	ポーズ	体を丸めたポーズ	fetal position
動作	ポーズ	土下座	prostration
動作	ポーズ	猫のポーズ	paw pose
動作	ポーズ	片足立ち	standing on one leg
動作	ポーズ	立っている	standing
動作	移動	空から落ちる	falling from the sky
動作	移動	空飛ぶ	flying
動作	衣服	タックを開けます	optuck
動作	一般	な動き	movement
動作	脚の動作	あぐら	indian style
動作	脚の動作	横座り	yokozuwari
動作	脚の動作	階段に座る	sitting on stairs
動作	脚の動作	座っている	sitting
動作	脚の動作	女の子座り,ぺたんこ座り	wariza
動作	脚の動作	正座,たまに女の子座り	seiza
動作	脚の動作	足を上げます	legs up
動作	脚の動作	体育座り(ももを持つ)	sit flat, legs bent backwards
動作	脚の動作	体育座り(膝を持つ)	hugging own legs
動作	脚の動作	腿上げ	leg lift
動作	脚の動作	内股	pigeon toed
動作	脚の動作	膝を立てて座る	knees up
動作	脚の動作	膝立ち	kneeling
動作	脚の動作	片足を上げます	leg up
動作	脚の動作	片足立ち	standing on one leg
動作	脚の動作	片膝立ち	one knee
動作	脚の動作	両足一緒に	legs together
動作	脚の動作	蹲踞,ヤンキー座り	crouching
動作	座る	玉座に座ってください	sit on the throne
動作	座る	星に座っています	sitting on star
動作	指さし	指差し	pointing at viewer
動作	指さし	指差し横	pointing to the side
動作	指さし	指差し下	pointing down
動作	指さし	指差し剣	pointing sword
動作	指さし	指差し後ろ	pointing another
動作	指さし	指差し自身	pointing at self
動作	指さし	指差し上	pointing up
動作	指さし	指差し前	pointing forward
動作	指さし	指差し武器	pointing weapon
動作	視線	空に向かって顔	face towards the sky
動作	手	握りしめられた自分の手	own hands clasped
動作	手	隠された手	hiddhands
動作	手	拳	fist
動作	手	絞る	squeeze
動作	手	自分の胸をつかむ	grabbing own breast
動作	手	手を隠す	hide hands
動作	乗り物	乗馬モーター	riding motor
動作	動作	キスの瞬間	incoming kiss
動作	動作	ジャンプ	jumping
動作	動作	スカート持ち上げ	skirt lift
動作	動作	つかむ	grabbing
動作	動作	トレイを保持します	hold a tray
動作	動作	ハグ	hug
動作	動作	ファインティング	fighting
動作	動作	ベンチ座り	sitting on bench
動作	動作	マイクを持つ	with a microphone
動作	動作	モーション	motion
動作	動作	もたれかかる	leaning back
動作	動作	椅子の上	on chair
動作	動作	椅子座り	sitting on chair
動作	動作	飲んでいる	drinking
動作	動作	何かを持つ	holding
動作	動作	歌っている	singing
動作	動作	逆立ち	handstand
動作	動作	叫ぶ	shouting
動作	動作	結いている,髪をいじっている	tying hair
動作	動作	咲く	bloom
動作	動作	蹴る	kicking
動作	動作	食べてる	eating
動作	動作	寝る	sleepy
動作	動作	潜める,身を潜める	hiding
動作	動作	潜水	submerge
動作	動作	走る	running
動作	動作	足を水に浸す	soaking feet
動作	動作	脱衣	undressing
動作	動作	逃げる	run away
動作	動作	髪をいじっている	adjusting hair
動作	動作	髪をかきあげる？	hand on own face
動作	動作	髪を結んでいる	tied hair
動作	動作	浮く	float
動作	動作	歩く	walking motion
動作	動作	帽子を触る	adjusting headwear
動作	動作	枕を抱く	pillow hug
動作	動作	踊っている	dancing
動作	動作	落下	falling
動作	動作	腕を前に出す	thrust arm forward
動作	武器	剣で	with sword
動作	武器	剣を持ってください	hold sword
動作	目線	カメラ目線	looking at viewer
動作	目線	まっすぐに	straight on
動作	目線	見詰める	stare
動作	腕の動作	（胸の前で）両手を握る	own hands together
動作	腕の動作	いいね	thumbs up
動作	腕の動作	ダブルピース	double peace,peace sign on both hands
動作	腕の動作	ちょっと手を挙げる	hand up
動作	腕の動作	パンチ	punching
動作	腕の動作	ピース	peace sign
動作	腕の動作	握りこぶし	clenched hand
動作	腕の動作	外側に手を広げる	outstretched hand
動作	腕の動作	脚を掴んでいる	leg hold
動作	腕の動作	後ろ手に組む	arms behind back
動作	腕の動作	手をつく	arm support
動作	腕の動作	手をつなぐ	holding hands
動作	腕の動作	手を伸ばす	reaching
動作	腕の動作	手を振る	waving
動作	腕の動作	頭の後ろに腕を持ってく,すごく脇が見える	arms behind head
動作	腕の動作	布を引っ張る	clothes pull
動作	腕の動作	両手をちょっと上げる	hands up
動作	腕の動作	両手を広げる	outstretched arms
動作	腕の動作	両腕を上げる,両脇が見える	arms up
動作	腕の動作	脇を見せる	armpits
動作	腕の動作	腕を広げる	open arms
動作	腕の動作	腕を広げる2	spread arms
動作	腕の動作	腕を上げる,脇が見える	arm up
動作	腕の動作	腕組み	crossed arms
動作	腕の動作	揉む,触れる	massage
年齢	女性	お姉さん	assertive female
年齢	女性	ロリ	loli
年齢	女性	熟女	milf
年齢	女性	女の子	girl
年齢	女性	女子高校生	high school girl
年齢	女性	少女	little girl
年齢	女性	成熟した女性	mature female
年齢	男女共通	あかちゃん	baby
年齢	男女共通	あかちゃん	infant
年齢	男女共通	あかちゃん	toddler
年齢	男女共通	高校生	high school
年齢	男女共通	子供	child
年齢	男女共通	思春期	puberty
年齢	男女共通	若者	youth
年齢	男女共通	幼児	child
年齢	男女共通	幼児	flat chest
年齢	男女共通	幼児	preschooler
年齢	男性	ショタ	shota
年齢	男性	男子高校生	high school boy
年齢	年齢指定	00歳	0years old
年齢	年齢指定	01歳	1years old
年齢	年齢指定	02歳	2years old
年齢	年齢指定	03歳	3years old
年齢	年齢指定	04歳	4years old
年齢	年齢指定	05歳	5years old
年齢	年齢指定	06歳	6years old
年齢	年齢指定	07歳	7years old
年齢	年齢指定	08歳	8years old
年齢	年齢指定	09歳	9years old
年齢	年齢指定	10歳	10years old
年齢	年齢指定	11歳	11years old
年齢	年齢指定	12歳	12years old
年齢	年齢指定	13歳	13years old
年齢	年齢指定	14歳	14years old
年齢	年齢指定	15歳	15years old
年齢	年齢指定	16歳	16years old
年齢	年齢指定	17歳	17years old
年齢	年齢指定	18歳	18years old
年齢	年齢指定	19歳	19years old
年齢	年齢指定	20歳	20years old
年齢	年齢指定	25歳	25years old
年齢	年齢指定	30歳	30years old
年齢	年齢指定	40歳	40years old
年齢	年齢指定	50歳	50years old
年齢	年齢指定	60歳	60years old
